ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,3.56,0,0,12.2,16.63,9,14.04,10.95,51.87,4.05
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,3.74,0,3.97,7.52,4.07,16.63,0,7.02,0,17.29,2.78
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,0,7.52,0,4.16,0,14.04,10.95,17.29,1.77
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,3.76,0,8.31,0,7.02,0,0,1.01
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,3.97,0,0,4.16,9,7.02,0,0,1.27
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,4.5,0,0,0,0.51
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,4.5,0,0,17.29,0.76
C07-C07.9 Parotide,0,0,0,0,0,3.44,3.24,0,0,3.56,3.97,3.76,4.07,4.16,9,14.04,0,17.29,3.04
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,3.56,0,7.52,0,8.31,9,0,0,0,1.77
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0.25
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,0,3.76,12.2,0,0,0,0,0,1.01
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,3.97,3.76,0,12.47,4.5,0,0,0,1.52
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,3.76,8.13,0,0,0,10.95,0,1.01
C14-C14.9 Altre ns sedi lab.cav.or.faringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,0.25
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,11.28,0,16.63,22.5,28.09,65.71,34.58,6.07
C16-C16.9 Stomaco,0,0,0,0,0,0,0,0,3.74,32.01,39.72,60.14,101.67,124.69,215.99,301.93,503.75,397.65,63.52
C17-C17.9 Piccolo intestino,0,0,0,0,0,3.44,0,0,0,0,0,3.76,4.07,4.16,4.5,7.02,0,0,1.52
C18-C18.9 Colon,0,0,0,0,0,3.44,9.72,0,11.22,14.23,35.75,56.38,113.87,207.81,251.99,203.63,405.19,293.91,63.78
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,10.67,3.97,15.03,24.4,29.09,27,63.2,65.71,34.58,11.14
C20-C20.9 Retto,0,0,0,0,0,0,0,0,3.74,7.11,23.83,41.34,48.8,87.28,85.5,161.5,153.32,86.45,28.85
C21-C21.9 Ano e canale anale,0,0,0,0,0,3.44,0,0,0,0,0,3.76,12.2,0,18,21.07,21.9,17.29,3.8
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,3.51,7.48,3.56,7.94,18.79,36.6,78.97,85.5,126.39,142.36,69.16,23.54
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,3.76,8.13,4.16,13.5,21.07,21.9,0,3.04
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,3.76,12.2,0,9,0,10.95,0,1.77
C25-C25.9 Pancreas,0,0,0,0,0,0,3.24,0,7.48,3.56,15.89,18.79,16.27,58.19,36,49.15,65.71,172.89,15.69
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95,17.29,0.51
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0.25
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,3.76,4.07,0,0,0,0,0,0.51
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,3.74,14.23,35.75,37.59,44.74,49.88,72,42.13,32.85,34.58,18.73
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,7.02,10.95,0,1.01
