ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0.24
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,0,3.24,0,0,4.02,3.98,0,0,0,0,0.71
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,3.59,0,8.05,3.98,0,5.48,0,0,1.18
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,3.53,0,3.98,0,5.48,0,0,0.71
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,3.24,3.59,0,0,0,0,0,0,0,0.47
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,3.24,0,3.53,0,7.97,0,27.38,0,11.78,2.36
C07-C07.9 Parotide,0,0,0,0,0,0,0,2.95,0,0,3.59,7.05,0,0,9.3,5.48,15.17,0,2.12
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,0,3.59,3.53,12.07,3.98,4.65,5.48,0,0,1.88
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,7.59,0,0.47
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,3.59,0,0,11.95,9.3,0,0,0,1.41
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,11.78,0.47
C14-C14.9 Altre ns sedi lab.cav.or.faringe,0,0,0,0,0,0,0,0,0,0,3.59,0,4.02,0,0,0,0,11.78,0.71
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,3.59,0,12.07,7.97,18.59,5.48,15.17,23.56,3.53
C16-C16.9 Stomaco,0,0,0,0,0,0,0,0,11.64,12.95,25.1,45.83,72.41,95.59,172,197.14,197.25,294.48,45.69
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,2.95,2.91,3.24,0,3.53,0,11.95,13.95,5.48,0,11.78,2.83
C18-C18.9 Colon,0,0,0,0,4.56,0,0,5.9,11.64,19.43,39.44,112.81,185.04,274.81,330.05,344.99,356.57,282.7,88.55
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,3.24,14.34,10.58,32.18,15.93,74.38,54.76,53.11,23.56,12.95
C20-C20.9 Retto,0,0,0,0,0,0,0,2.95,2.91,3.24,32.27,45.83,80.45,103.55,158.05,125.95,151.73,153.13,37.92
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,3.59,3.53,0,3.98,4.65,10.95,0,0,1.41
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,12.95,10.76,14.1,36.2,71.69,125.51,93.09,91.04,35.34,22.84
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,4.65,27.38,0,23.56,2.12
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,2.91,0,3.59,7.05,4.02,3.98,13.95,16.43,37.93,23.56,4.47
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,5.82,6.48,21.51,28.2,60.34,31.86,69.73,60.24,75.87,106.01,20.25
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,23.56,0.71
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,7.59,11.78,0.71
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0.24
C32-C32.9 Laringe,0,0,0,0,0,0,0,2.95,0,19.43,14.34,21.15,60.34,39.83,32.54,54.76,53.11,35.34,16.25
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0.24
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,2.95,8.73,12.95,60.95,109.29,160.91,294.72,371.89,520.22,394.51,353.38,100.56
C37-C37.9 Timo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,11.78,0.47
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0.24
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,0,0,0,0,3.59,0,4.02,0,4.65,0,7.59,0,0.94
C43-C43.9 Melanoma della pelle,0,0,0,0,4.56,3.79,3.09,14.75,11.64,19.43,28.68,7.05,28.16,31.86,41.84,54.76,22.76,58.9,16.49
C44-C44.9 Pelle non melanomi,0,0,0,9.97,0,0,6.19,8.85,32,48.58,64.54,119.86,160.91,326.58,506.69,865.21,910.4,954.12,158.96
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,0,3.59,0,4.02,0,32.54,16.43,30.35,23.56,4.24
C46-C46.9 Sarcoma di Kaposi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0.24
C47-C47.9 Nervi periferici s.n.auto,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,3.24,0,0,0,3.98,4.65,0,7.59,0,0.94
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,2.95,2.91,3.24,3.59,14.1,8.05,7.97,0,10.95,7.59,11.78,3.77
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,0,3.59,0,0,11.95,9.3,21.9,15.17,35.34,3.53
