ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,4.61,16.79,22.29,13.89,2.26
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,0,3.76,3.53,0,15.44,4.29,0,0,0,13.89,2.01
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,0,0,3.86,12.86,9.22,11.2,0,0,2.01
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,0,12.41,3.86,4.29,4.61,0,0,0,1.5
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,4.14,3.86,4.29,4.61,5.6,0,0,1.25
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,3.76,0,0,3.86,0,4.61,11.2,0,0,1.25
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,5.6,0,0,0.5
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,3.76,0,4.14,11.58,12.86,0,0,11.15,0,2.26
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,4.61,5.6,0,0,1
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,3.53,0,3.86,0,0,0,0,0,0.5
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,3.53,0,0,4.29,0,5.6,0,0,0.75
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,7.05,0,0,4.29,4.61,0,0,0,1
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,3.76,3.53,12.41,3.86,12.86,50.72,33.59,11.15,41.67,7.52
C16-C16.9 Stomaco,0,0,0,0,0,0,0,3.17,3.52,18.78,31.73,37.23,96.52,158.62,207.51,268.68,133.75,333.33,54.15
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,13.83,5.6,0,27.78,2.01
C18-C18.9 Colon,0,0,0,0,0,3.48,3.27,12.7,3.52,15.02,24.68,107.56,111.96,175.77,267.45,285.47,334.37,486.11,72.2
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,3.52,7.51,3.53,28.96,23.16,42.87,46.11,50.38,0,55.56,12.53
C20-C20.9 Retto,0,0,0,0,0,0,3.27,3.17,3.52,7.51,28.21,28.96,61.77,94.32,133.73,134.34,156.04,83.33,32.84
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,0,4.14,0,8.57,0,0,0,0,0.75
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,11.27,14.1,12.41,54.05,51.44,106.06,111.95,89.17,69.44,23.06
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,8.27,0,4.29,36.89,11.2,0,13.89,3.51
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,3.76,0,0,3.86,8.57,9.22,22.39,0,55.56,3.51
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,10.57,0,7.05,20.68,23.16,30.01,59.95,95.16,78.02,83.33,16.54
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,5.6,0,41.67,1.25
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,3.53,4.14,0,4.29,0,0,0,0,0.75
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,3.76,0,8.27,0,0,0,0,0,0,0.75
C32-C32.9 Laringe,0,0,0,0,0,0,0,3.17,0,11.27,24.68,24.82,30.89,17.15,55.34,33.59,55.73,0,13.04
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,4.61,11.2,11.15,0,1.25
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.27,3.17,17.62,41.31,38.78,124.11,177.59,342.96,419.63,481.39,490.41,263.89,106.54
C37-C37.9 Timo,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0.25
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,4.61,0,11.15,0,1
C39-C39.9 Al.mal def.org.resp.intratorac.,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0.25
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,0.5
C43-C43.9 Melanoma della pelle,0,0,0,0,4.25,3.48,6.55,3.17,3.52,7.51,14.1,24.82,19.3,17.15,18.45,5.6,22.29,13.89,8.77
