ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,11.05,0,0,0.72
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,3.03,0,7.38,0,0,0,4.6,5.53,0,0,1.2
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,3.44,14.76,7.07,4.14,0,0,0,7.76,13.84,2.4
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,2.96,0,0,0,0,4.14,4.05,0,0,0,0,0.72
C05-C05.9 Palato,0,0,0,0,0,0,0,2.96,0,0,11.07,0,0,4.05,0,0,0,0,1.2
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,3.03,0,0,3.53,0,4.05,0,0,0,13.84,0.96
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,3.69,3.53,0,0,0,16.58,7.76,27.69,1.92
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0.24
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0.24
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,7.76,0,0.72
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,3.03,6.87,3.69,0,4.14,4.05,0,0,0,0,1.44
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,3.69,0,0,4.05,13.8,0,0,0,1.2
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,4.6,5.53,0,0,0.72
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,3.69,7.07,0,0,27.6,11.05,23.28,41.53,4.07
C16-C16.9 Stomaco,0,0,0,0,0,0,0,0,6.07,10.31,25.84,45.95,41.38,125.6,193.18,292.91,333.63,373.78,55.34
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,3.69,3.53,4.14,4.05,9.2,5.53,7.76,13.84,2.16
C18-C18.9 Colon,0,0,0,0,4.45,0,3.07,0,12.14,17.18,29.53,84.83,115.87,206.63,211.58,270.8,411.22,415.31,71.87
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,6.87,3.69,0,16.55,28.36,32.2,33.16,46.55,13.84,8.15
C20-C20.9 Retto,0,0,0,0,0,0,0,2.96,3.03,0,25.84,53.02,45.52,52.67,124.19,149.22,93.11,110.75,29.23
