ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,6.34,0.45
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,3.57,3.38,0,0,3.8,0,4.68,0,0.9
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0.22
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,0,0,3.38,0,3.59,0,0,0,0,0.45
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,3.8,8.01,9.36,0,1.35
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,4.68,6.34,0.67
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,4.01,0,0,0.45
C15-C15.9 Esofago,0,0,0,0,0,0,0,3.01,0,3.4,0,0,0,0,0,0,0,12.68,0.9
C16-C16.9 Stomaco,0,0,0,0,0,0,0,6.02,3.04,16.99,10.72,37.22,26.95,64.64,75.96,108.18,121.68,240.88,35.43
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,3.57,3.38,0,0,3.8,8.01,9.36,0,1.57
C18-C18.9 Colon,0,0,0,0,0,0,0,9.03,9.11,20.38,35.73,84.6,107.8,86.19,155.71,156.26,234,259.9,60.54
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,3.73,3.1,0,6.07,3.4,7.15,0,11.55,10.77,15.19,0,37.44,31.69,6.73
C20-C20.9 Retto,0,0,0,0,0,0,3.1,0,0,10.19,21.44,27.07,30.8,32.32,64.56,80.13,84.24,63.39,22.42
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,3.01,0,0,0,0,3.85,0,7.6,12.02,9.36,6.34,2.24
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,3.1,3.01,0,0,7.15,3.38,11.55,14.36,22.79,60.1,51.48,44.37,11.43
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,10.15,7.7,10.77,11.39,24.04,14.04,25.36,5.38
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,3.04,0,7.15,0,0,3.59,18.99,16.03,37.44,44.37,6.28
C25-C25.9 Pancreas,0,0,0,0,0,0,0,3.01,0,0,0,6.77,26.95,25.14,60.77,52.09,93.6,101.42,18.39
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,25.36,1.12
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,4.68,0,0.45
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34,0.22
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,3.04,3.4,3.57,3.38,3.85,3.59,0,0,0,0,1.35
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0.22
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,3.01,3.04,30.57,10.72,57.52,42.35,57.46,60.77,92.15,65.52,57.05,26.91
C37-C37.9 Timo,0,0,0,0,0,0,0,0,0,0,3.57,3.38,3.85,0,7.6,0,0,0,1.12
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0.22
C40-C40.9 Ossa cart.art.arti,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,4.01,0,0,0.45
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34,0.22
C43-C43.9 Melanoma della pelle,0,0,5.73,0,9.47,7.46,24.79,24.08,15.18,13.59,7.15,10.15,7.7,17.96,7.6,20.03,18.72,44.37,13.45
C44-C44.9 Pelle non melanomi,0,0,0,5.43,4.73,3.73,9.3,15.05,21.25,57.75,42.88,54.14,115.5,140.05,201.29,268.44,444.6,564.17,97.76
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,3.4,0,3.38,3.85,0,0,4.01,0,6.34,1.12
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,4.01,0,0,0.45
C49-C49.9 Tess.connettivo e molle,5.62,0,5.73,0,4.73,0,0,3.01,3.04,0,0,0,0,0,0,4.01,9.36,6.34,2.02
C50-C50.9 Mammella,0,0,0,0,0,14.92,24.79,51.16,148.76,227.6,228.67,216.56,300.31,258.56,231.67,268.44,271.44,234.54,144.84
C51-C51.9 Vulva,0,0,0,0,0,0,0,0,0,3.4,0,0,3.85,0,7.6,24.04,9.36,19.02,3.36
C52-C52.9 Vagina,0,0,0,0,0,0,0,0,0,0,0,3.38,0,3.59,0,0,9.36,0,0.9
C53-C53.9 Collo dell'utero,0,0,0,0,0,3.73,9.3,15.05,27.32,6.79,3.57,6.77,15.4,14.36,0,12.02,9.36,12.68,8.52
C54-C54.9 Corpo dell'utero,0,0,0,0,0,0,0,0,6.07,27.18,35.73,64.29,57.75,64.64,83.55,52.09,60.84,76.07,29.6
C55-C55.9 Utero n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,6.34,0.45
C56-C56.9 Ovaio,0,0,0,0,4.73,0,0,0,6.07,23.78,35.73,27.07,38.5,28.73,49.37,20.03,42.12,44.37,17.94
C57-C57.9 Al.n.s.org.genit.femminili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0.22
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,0,3.01,3.04,6.79,3.57,16.92,26.95,17.96,34.18,44.07,51.48,31.69,13
C65-C65.9 Pelvi renale,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,3.8,4.01,0,0,0.67
