ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0.23
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,0,0,3.66,3.68,3.76,3.99,5.29,0,1.15
C03-C03.9 Gengiva,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,6.71,0.46
C05-C05.9 Palato,0,0,0,0,0,0,0,0,3.29,0,0,3.66,0,0,0,0,5.29,6.71,0.92
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,3.76,3.99,0,0,0.69
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,3.76,3.99,0,0,0.69
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0.23
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0.23
C14-C14.9 Altre ns sedi lab.cav.or.faringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0.23
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,0,3.66,3.68,3.76,0,5.29,6.71,1.15
C16-C16.9 Stomaco,0,0,0,0,0,3.6,0,6.17,9.87,3.6,3.55,14.66,47.57,66.25,97.83,123.68,153.47,248.31,38.2
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,3.09,0,7.2,3.55,3.66,10.98,0,3.76,11.97,0,0,2.76
C18-C18.9 Colon,0,0,0,0,0,0,0,6.17,13.16,10.79,31.97,40.31,80.5,95.7,146.74,167.56,164.05,187.91,49.94
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,3.6,3.55,0,7.32,7.36,26.34,23.94,10.58,20.13,5.52
C20-C20.9 Retto,0,0,0,0,0,0,0,3.09,0,10.79,10.66,21.99,21.96,51.53,52.68,43.89,79.38,46.98,18.41
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,0,7.33,3.66,3.68,3.76,7.98,5.29,6.71,2.07
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,3.29,0,10.66,3.66,14.64,22.08,33.86,71.81,74.09,60.4,14.96
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,3.55,7.33,7.32,11.04,22.58,23.94,15.88,6.71,5.52
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,15.05,19.95,5.29,26.84,3.68
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,3.29,0,3.55,18.32,40.25,29.44,37.63,35.91,74.09,80.53,16.34
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,3.99,0,13.42,0.92
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,3.76,0,0,0,0.69
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0,0.46
