ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,3.5,0,0,4.04,0,0,0,0,18.77,0.76
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,3.5,4.08,3.75,24.22,20.49,31.6,23.67,10.27,93.87,7.6
C16-C16.9 Stomaco,0,0,0,0,0,3.42,0,3.58,30.18,38.54,48.98,71.16,113.02,135.25,167.01,213.03,420.99,300.38,59.31
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,3.75,0,8.2,4.51,15.78,0,18.77,1.77
C18-C18.9 Colon,0,0,0,0,3.69,0,6.52,7.16,3.77,7.01,20.41,71.16,92.84,147.54,261.8,213.03,349.11,262.84,56.77
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,3.42,0,0,0,7.01,0,11.24,12.11,20.49,31.6,71.01,82.14,18.77,9.88
C20-C20.9 Retto,0,0,0,0,0,0,0,7.16,7.55,3.5,16.33,14.98,40.36,106.56,126.39,157.8,82.14,150.19,28.64
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,3.5,0,3.75,0,0,9.03,7.89,0,18.77,1.52
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,3.77,0,4.08,18.73,64.58,86.07,117.36,181.47,123.22,56.32,27.37
C23-C23.9 Colecisti,0,0,0,0,0,0,0,3.58,0,0,0,0,8.07,12.3,0,7.89,10.27,18.77,2.28
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,4.08,3.75,8.07,4.1,22.57,31.56,30.8,56.32,5.07
C25-C25.9 Pancreas,0,0,0,0,0,0,0,7.16,3.77,0,20.41,14.98,40.36,32.79,45.14,71.01,112.95,93.87,16.47
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,3.5,16.33,29.96,60.54,57.38,40.62,47.34,61.61,18.77,16.22
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.26,0,7.55,38.54,44.9,161.05,274.47,368.86,410.75,504.95,369.65,300.38,109.74
C43-C43.9 Melanoma della pelle,0,0,0,0,0,6.85,6.52,0,26.41,3.5,20.41,3.75,20.18,8.2,22.57,31.56,30.8,18.77,9.63
C44-C44.9 Pelle non melanomi,0,0,0,0,3.69,3.42,6.52,10.74,3.77,35.04,36.73,104.87,161.45,311.48,383.67,481.28,718.76,563.22,105.69
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,10.27,0,0.51
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,0,0,0,8.16,0,8.07,4.1,4.51,23.67,0,0,2.28
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,0,0,7.49,0,8.2,9.03,0,0,0,1.52
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,3.42,0,3.58,7.55,24.53,8.16,33.71,40.36,36.89,76.73,63.12,82.14,93.87,20.02
C67-C67.9 Vescica,0,0,0,0,3.69,3.42,3.26,0,18.87,21.02,36.73,89.89,113.02,213.12,324.99,355.04,328.58,262.84,73.5
C69-C69.9 Occhio e annessi,6.07,0,0,0,0,0,0,0,0,0,4.08,3.75,0,0,9.03,15.78,0,0,1.77
C71-C71.9 Cervello,0,5.94,0,0,3.69,3.42,3.26,10.74,0,7.01,16.33,7.49,32.29,36.89,40.62,39.45,30.8,18.77,12.67
C73-C73.9 Ghiandola tiroide,0,0,0,0,3.69,0,3.26,3.58,7.55,0,4.08,14.98,0,0,9.03,0,20.54,0,3.55
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,3.58,0,3.5,0,3.75,8.07,8.2,9.03,0,61.61,18.77,4.06
C81-C81.9 Malattia di Hodgkin,0,0,0,0,0,3.42,0,3.58,3.77,0,0,0,4.04,8.2,4.51,0,20.54,0,2.28
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,0,0,0,0,3.75,4.04,0,4.51,23.67,0,0,1.52
C83-C83.9 Linfoma diffuso non-Hodgkin,0,5.94,0,0,0,10.27,9.78,10.74,0,7.01,8.16,11.24,24.22,20.49,18.06,55.23,30.8,0,10.64
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,3.69,0,0,10.74,0,3.5,8.16,22.47,8.07,32.79,54.17,55.23,41.07,0,11.66
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,3.77,0,0,0,4.04,0,0,0,10.27,0,0.76
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,3.58,7.55,7.01,0,11.24,4.04,45.08,22.57,55.23,82.14,93.87,11.41
C91-C91.9 Leucemia linfoide,12.13,11.87,0,0,0,0,3.26,0,11.32,7.01,16.33,11.24,28.25,20.49,72.22,55.23,61.61,112.64,16.22
C92-C92.9 Leucemia mieloide,0,0,0,0,0,0,6.52,10.74,3.77,10.51,8.16,26.22,12.11,4.1,22.57,63.12,41.07,37.55,10.39
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,0,0,4.08,3.75,0,4.1,0,0,0,0,0.76
