ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,7.99,4.66,5.84,1.11
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,3.88,3.99,9.33,5.84,1.56
C16-C16.9 Stomaco,0,0,0,0,0,0,3.09,3,8.91,13.2,14.17,10.02,19.35,53.79,89.19,55.91,153.87,233.5,32.48
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.99,9.33,0,0.89
C18-C18.9 Colon,0,0,0,0,0,7.62,3.09,3,14.84,26.4,42.52,66.77,73.52,121.93,170.62,251.6,209.82,215.99,64.74
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,3.54,10.02,11.61,14.35,23.27,31.95,23.31,23.35,7.56
C20-C20.9 Retto,0,0,0,0,0,0,0,3,5.94,13.2,7.09,3.34,27.09,17.93,31.02,59.9,60.62,70.05,15.57
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,2.97,0,3.54,3.34,0,7.17,11.63,0,9.33,11.68,2.67
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,0,3.54,16.69,27.09,21.52,27.14,31.95,55.95,58.38,12.46
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,3.3,7.09,0,7.74,7.17,11.63,11.98,27.98,11.68,4.67
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,0,7.74,3.59,0,3.99,13.99,17.51,2.22
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,8.91,6.6,14.17,16.69,7.74,35.86,46.53,55.91,121.23,64.21,19.8
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,2.97,0,0,0,7.74,0,3.88,0,0,0,0.89
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,0,11.87,26.4,31.89,43.4,58.04,89.66,89.19,107.83,79.27,87.56,34.71
C43-C43.9 Melanoma della pelle,0,0,0,0,0,7.62,12.35,3,11.87,19.8,28.34,33.38,23.22,21.52,19.39,19.97,9.33,17.51,13.79
C44-C44.9 Pelle non melanomi,0,0,0,0,0,11.42,0,21.03,20.78,62.7,38.97,80.12,85.13,107.59,283.07,303.51,447.63,449.49,99
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0.22
C49-C49.9 Tess.connettivo e molle,0,0,0,0,4.75,0,0,0,5.94,3.3,7.09,0,0,3.59,0,7.99,0,0,2
C50-C50.9 Mammella,0,0,0,0,4.75,3.81,24.71,69.11,136.55,240.9,212.59,270.41,270.86,329.94,221.03,279.55,312.41,239.34,153.51
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,0,0,0,9.9,10.63,40.06,15.48,50.21,34.9,19.97,65.28,58.38,16.46
C67-C67.9 Vescica,0,0,0,0,0,0,0,6.01,0,0,3.54,13.35,7.74,32.28,27.14,47.92,93.26,75.89,15.57
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,0,3.34,3.87,0,0,7.99,0,0,0.89
C71-C71.9 Cervello,0,0,0,0,0,3.81,3.09,3,2.97,3.3,7.09,13.35,19.35,10.76,34.9,27.96,27.98,17.51,9.79
C73-C73.9 Ghiandola tiroide,0,0,0,5.4,9.49,0,15.44,18.03,17.81,39.6,31.89,56.75,27.09,14.35,19.39,7.99,18.65,5.84,18.02
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,4.75,0,0,0,0,0,0,3.34,7.74,0,3.88,3.99,0,11.68,1.78
C81-C81.9 Malattia di Hodgkin,0,0,0,27.02,0,0,6.18,3,0,6.6,3.54,0,3.87,7.17,0,0,4.66,0,3.34
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,0,0,3.3,3.54,10.02,7.74,7.17,0,0,4.66,0,2.22
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,0,0,4.75,0,3.09,0,0,3.3,7.09,16.69,3.87,7.17,34.9,15.97,9.33,17.51,6.9
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,5.4,0,3.81,3.09,3,2.97,9.9,0,20.03,11.61,17.93,23.27,7.99,32.64,40.86,9.79
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,3,0,0,3.54,0,0,7.17,11.63,0,4.66,5.84,2
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,2.97,3.3,3.54,10.02,7.74,17.93,38.78,11.98,32.64,11.68,7.79
C91-C91.9 Leucemia linfoide,0,5.85,0,0,0,0,0,3,0,0,3.54,6.68,7.74,17.93,19.39,3.99,18.65,5.84,5.12
C92-C92.9 Leucemia mieloide,0,0,0,0,4.75,0,0,6.01,0,6.6,7.09,13.35,3.87,10.76,23.27,27.96,32.64,35.03,9.12
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,2.97,0,0,3.34,7.74,10.76,7.76,35.94,41.96,23.35,6.9
