ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,16.28,0.71
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,3.83,0,0,3.58,0,5.08,6.85,8.14,1.19
C16-C16.9 Stomaco,0,0,0,0,0,0,6.51,7.04,14.93,10.54,30.66,10.8,37,71.55,79.98,106.76,198.63,227.96,36.04
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,10.91,5.08,0,8.14,1.42
C18-C18.9 Colon,0,0,0,0,3.82,3.48,0,3.52,11.2,24.59,34.49,68.37,70.3,121.63,163.6,167.77,239.73,276.81,57.14
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,3.73,7.03,3.83,7.2,0,25.04,25.45,61.01,27.4,24.42,9.25
C20-C20.9 Retto,0,0,0,0,0,0,0,3.52,3.73,14.05,3.83,25.19,44.4,46.51,18.18,45.76,89.04,73.27,17.78
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,7.46,0,0,0,3.7,0,7.27,15.25,6.85,8.14,2.37
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,3.51,7.66,0,7.4,28.62,21.81,55.92,61.64,40.71,10.43
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,3.51,0,0,11.1,3.58,14.54,40.67,34.25,81.41,7.59
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,3.51,0,0,3.7,10.73,3.64,20.34,20.55,8.14,3.32
C25-C25.9 Pancreas,0,0,0,0,0,0,3.26,0,0,0,15.33,17.99,29.6,21.46,43.63,30.5,68.49,48.85,13.75
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73,7.27,0,6.85,16.28,1.9
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.26,3.52,7.46,7.03,7.66,21.59,18.5,42.93,90.89,61.01,89.04,65.13,21.1
C43-C43.9 Melanoma della pelle,0,0,5.71,9.83,3.82,3.48,13.02,10.56,14.93,14.05,30.66,14.39,14.8,28.62,18.18,15.25,34.25,32.57,14.46
C44-C44.9 Pelle non melanomi,0,0,0,0,3.82,0,6.51,14.07,14.93,24.59,53.65,50.38,62.9,121.63,229.04,289.79,383.56,480.34,78.72
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,3.48,0,0,0,3.51,0,3.6,0,3.58,3.64,5.08,6.85,0,1.66
C49-C49.9 Tess.connettivo e molle,0,0,0,4.91,0,0,0,3.52,3.73,7.03,3.83,3.6,7.4,0,10.91,5.08,13.7,0,3.56
C50-C50.9 Mammella,0,0,0,0,3.82,13.92,42.32,70.37,134.34,168.65,237.59,244.71,177.59,236.11,258.13,244.03,287.67,203.53,130.89
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,3.26,3.52,3.73,3.51,7.66,10.8,40.7,21.46,47.26,25.42,20.55,16.28,11.62
C67-C67.9 Vescica,0,0,0,0,0,3.48,0,0,3.73,3.51,0,10.8,14.8,39.35,72.71,71.18,54.79,48.85,16.36
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0.24
C71-C71.9 Cervello,6.43,0,5.71,0,0,0,6.51,0,3.73,10.54,11.5,14.39,11.1,17.89,21.81,25.42,13.7,8.14,8.77
C73-C73.9 Ghiandola tiroide,0,0,0,0,3.82,10.44,9.77,17.59,26.12,17.57,15.33,17.99,11.1,14.31,7.27,0,6.85,16.28,10.67
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,3.73,3.51,0,0,7.4,3.58,10.91,10.17,13.7,40.71,4.03
C81-C81.9 Malattia di Hodgkin,0,0,5.71,0,7.65,0,3.26,0,0,0,7.66,0,7.4,0,0,0,0,0,1.9
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,0,0,3.51,3.83,7.2,3.7,0,0,0,6.85,0,1.42
C83-C83.9 Linfoma diffuso non-Hodgkin,0,6.2,0,0,0,3.48,6.51,0,3.73,3.51,3.83,7.2,11.1,10.73,18.18,35.59,34.25,8.14,7.82
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,3.82,0,0,3.52,0,3.51,0,14.39,14.8,10.73,14.54,15.25,34.25,24.42,6.88
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,5.08,6.85,8.14,0.95
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,3.26,0,3.73,3.51,0,7.2,11.1,7.15,14.54,45.76,34.25,32.57,7.59
C91-C91.9 Leucemia linfoide,6.43,6.2,0,0,7.65,0,0,0,0,3.51,3.83,7.2,3.7,14.31,25.45,10.17,41.1,32.57,7.59
C92-C92.9 Leucemia mieloide,0,6.2,0,0,0,0,0,0,0,3.51,15.33,10.8,3.7,17.89,29.08,40.67,34.25,24.42,9.25
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,0,0,0,3.6,3.7,3.58,3.64,5.08,0,0,1.19
