ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,3.49,3.81,7.21,0,0,0,0,13.18,1.4
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,6.05,6.59,0.7
C16-C16.9 Stomaco,0,0,0,0,0,0,0,6.32,24.02,7.37,10.47,30.48,54.05,52.59,82.41,131.73,96.76,197.71,35.45
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,3.81,7.21,0,7.49,0,0,0,1.17
C18-C18.9 Colon,0,0,0,0,0,0,0,6.32,10.29,25.78,20.94,38.1,68.47,154.03,138.6,215.55,175.37,257.02,57.6
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,3.43,0,6.98,3.81,3.6,11.27,11.24,23.95,12.09,26.36,5.36
C20-C20.9 Retto,0,0,0,0,0,0,0,0,10.29,3.68,6.98,11.43,10.81,45.08,41.21,71.85,114.9,46.13,18.42
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,3.68,0,3.81,3.6,3.76,7.49,11.98,0,0,2.1
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,0,0,0,14.41,15.03,33.71,59.88,30.24,72.49,11.19
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,3.49,11.43,7.21,7.51,11.24,15.97,24.19,19.77,5.13
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,3.81,3.6,3.76,14.98,15.97,12.09,32.95,4.2
C25-C25.9 Pancreas,0,0,0,0,0,3.56,3.29,3.16,0,0,6.98,11.43,18.02,45.08,29.97,67.86,72.57,52.72,16.32
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,0,3.49,0,3.6,0,11.24,7.98,6.05,6.59,2.1
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,0,3.43,7.37,27.92,38.1,57.66,86.4,74.92,67.86,72.57,65.9,27.75
C43-C43.9 Melanoma della pelle,0,0,0,0,4.59,3.56,13.16,9.48,13.73,22.1,24.43,30.48,32.43,18.78,22.48,15.97,18.14,13.18,14.69
C44-C44.9 Pelle non melanomi,0,0,0,0,0,7.12,9.87,22.11,13.73,33.15,45.37,87.63,126.13,123.97,206.03,271.44,380.98,428.36,88.61
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,3.81,0,7.51,3.75,7.98,6.05,0,1.63
C49-C49.9 Tess.connettivo e molle,6.19,0,0,0,0,0,0,3.16,10.29,3.68,6.98,7.62,3.6,7.51,0,3.99,0,13.18,3.73
C50-C50.9 Mammella,0,0,0,0,0,10.68,36.18,50.54,154.41,294.65,254.78,297.17,288.29,296.78,206.03,271.44,278.17,217.48,155.54
C64-C64.9 Rene eccet.pelvi renale,6.19,6.22,0,0,0,0,0,3.16,6.86,7.37,3.49,11.43,7.21,33.81,29.97,31.93,24.19,13.18,10.26
C67-C67.9 Vescica,0,0,0,0,0,0,0,3.16,6.86,7.37,10.47,11.43,21.62,33.81,33.71,39.92,42.33,79.08,14.92
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,3.16,0,0,0,3.81,3.6,0,0,0,0,6.59,0.93
C71-C71.9 Cervello,0,0,5.79,0,0,0,9.87,0,0,3.68,13.96,3.81,7.21,22.54,26.22,31.93,18.14,19.77,9.09
C73-C73.9 Ghiandola tiroide,0,0,0,0,18.38,14.24,6.58,22.11,20.59,22.1,34.9,45.72,14.41,7.51,11.24,23.95,18.14,6.59,16.32
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,14.98,11.98,0,46.13,3.5
C81-C81.9 Malattia di Hodgkin,0,0,0,5.43,9.19,3.56,6.58,3.16,10.29,0,0,3.81,0,0,0,0,0,13.18,3.03
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,3.56,3.29,0,0,7.37,0,3.81,0,0,3.75,3.99,6.05,6.59,2.1
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,5.79,0,0,0,9.87,3.16,3.43,0,10.47,3.81,0,3.76,22.48,23.95,42.33,26.36,7.93
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,3.56,0,0,3.43,7.37,13.96,7.62,10.81,30.05,18.73,19.96,30.24,39.54,9.79
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,0,3.49,0,0,3.76,0,0,0,6.59,0.7
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,0,7.37,10.47,11.43,3.6,11.27,33.71,11.98,24.19,26.36,7.46
C91-C91.9 Leucemia linfoide,0,0,0,5.43,0,3.56,3.29,0,3.43,0,10.47,3.81,7.21,15.03,11.24,23.95,18.14,32.95,7.23
C92-C92.9 Leucemia mieloide,0,0,5.79,0,4.59,0,3.29,3.16,10.29,3.68,6.98,3.81,3.6,15.03,11.24,23.95,30.24,19.77,7.7
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,4.59,0,0,0,0,7.37,6.98,7.62,7.21,0,11.24,23.95,42.33,6.59,6.06
