ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,19.08,0.71
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,7.11,0,3.54,3.6,0,6.43,9.54,1.43
C16-C16.9 Stomaco,0,0,0,0,0,0,0,0,0,21,7.81,42.67,36.08,70.74,97.11,145.89,147.88,229.01,35.03
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,14.22,3.61,7.07,3.6,0,6.43,0,2.14
C18-C18.9 Colon,0,0,0,0,3.7,0,10,11,7.5,17.5,19.53,39.12,46.91,99.04,143.86,152.23,192.88,209.92,44.56
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,3.33,0,0,3.5,3.91,10.67,3.61,10.61,10.79,25.37,32.15,9.54,5.48
C20-C20.9 Retto,0,0,0,0,0,0,0,0,0,7,19.53,32.01,25.26,24.76,43.16,19.03,96.44,38.17,15.25
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,3.75,0,0,0,3.61,3.54,14.39,12.69,6.43,9.54,2.62
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,3.5,3.91,3.56,7.22,21.22,14.39,44.4,64.29,66.79,9.29
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,3.75,0,7.81,3.56,7.22,14.15,17.98,63.43,12.86,28.63,7.15
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,7.11,0,17.69,14.39,12.69,19.29,19.08,4.29
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,0,0,7.81,3.56,14.43,24.76,46.76,63.43,57.86,95.42,13.34
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,0,0,0,3.61,3.54,0,6.34,0,9.54,0.95
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.33,3.67,3.75,24.5,31.25,21.34,43.3,45.98,79.13,107.83,96.44,47.71,25.73
C43-C43.9 Melanoma della pelle,0,0,0,0,3.7,10.34,3.33,7.34,3.75,10.5,3.91,0,28.87,17.69,25.18,19.03,19.29,47.71,10.25
C44-C44.9 Pelle non melanomi,0,0,0,0,14.78,10.34,0,3.67,14.99,14,27.34,60.46,79.39,109.65,161.85,342.52,295.75,524.81,69.81
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,3.6,0,0,9.54,0.71
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,3.67,0,7,0,3.56,3.61,3.54,3.6,0,6.43,9.54,2.14
C50-C50.9 Mammella,0,0,0,0,0,3.45,33.33,47.68,146.19,196.03,171.87,199.15,223.73,212.22,284.13,222,225.03,229.01,122.47
C64-C64.9 Rene eccet.pelvi renale,6.47,0,0,0,0,0,3.33,7.34,0,3.5,3.91,7.11,25.26,17.69,14.39,44.4,32.15,19.08,9.05
C67-C67.9 Vescica,0,0,0,0,0,0,0,14.67,7.5,7,11.72,24.89,21.65,38.91,46.76,69.77,83.58,57.25,18.59
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,0,3.56,0,10.61,0,0,0,0,0.95
C71-C71.9 Cervello,12.93,6.21,0,4.54,3.7,6.9,6.67,0,7.5,0,7.81,17.78,10.83,14.15,35.97,12.69,25.72,19.08,10.25
C73-C73.9 Ghiandola tiroide,0,0,0,0,0,10.34,0,11,11.25,14,15.62,14.22,10.83,3.54,10.79,6.34,6.43,9.54,7.39
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,0,0,0,10.67,3.61,3.54,7.19,0,6.43,9.54,2.14
C81-C81.9 Malattia di Hodgkin,0,0,0,9.07,3.7,6.9,3.33,0,0,3.5,0,3.56,0,0,0,0,6.43,9.54,2.38
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0.24
C83-C83.9 Linfoma diffuso non-Hodgkin,0,6.21,0,0,3.7,6.9,0,3.67,3.75,3.5,11.72,10.67,14.43,14.15,14.39,0,6.43,9.54,6.43
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,6.9,0,0,0,0,11.72,0,21.65,7.07,17.98,6.34,45.01,38.17,7.15
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,6.34,12.86,0,0.95
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,0,3.5,11.72,7.11,25.26,21.22,21.58,50.74,25.72,66.79,10.48
C91-C91.9 Leucemia linfoide,12.93,6.21,0,0,3.7,3.45,0,0,0,0,3.91,10.67,10.83,24.76,25.18,38.06,25.72,19.08,9.05
C92-C92.9 Leucemia mieloide,0,0,0,0,0,3.45,3.33,0,0,10.5,3.91,7.11,3.61,17.69,7.19,19.03,12.86,28.63,5.72
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,3.75,0,3.91,7.11,0,0,3.6,0,0,0,1.19
