ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,3.87,0,0,0,0,0,3.84,3.83,4.01,4.2,4.51,12.61,0,0,2.02
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,11.51,15.32,8.02,8.39,36.05,25.23,0,0,5.81
C16-C16.9 Stomaco,0,0,0,0,0,3.44,3.23,13.72,3.71,47.57,26.86,72.77,76.22,176.22,279.39,214.42,313.56,401.64,64.2
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,4.01,4.2,4.51,6.31,12.06,0,1.26
C18-C18.9 Colon,0,0,0,0,0,3.44,0,13.72,7.42,36.59,38.37,80.43,68.19,193,301.92,277.48,373.85,208.85,67.24
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,10.98,7.67,15.32,40.11,50.35,40.56,56.76,72.36,32.13,14.41
C20-C20.9 Retto,0,0,0,0,0,0,0,3.43,7.42,10.98,7.67,15.32,60.17,79.72,85.62,94.6,132.66,160.66,25.53
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,3.66,0,0,4.01,4.2,0,6.31,0,32.13,1.52
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,3.66,7.67,26.81,44.13,96.5,63.09,126.13,120.6,80.33,23.51
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,3.84,3.83,4.01,4.2,18.03,25.23,60.3,16.07,4.55
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,3.71,3.66,0,0,16.05,8.39,13.52,18.92,12.06,0,3.79
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,0,3.66,11.51,15.32,24.07,33.57,58.58,56.76,84.42,80.33,14.16
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,3.71,3.66,30.7,42.13,40.11,92.31,58.58,44.14,36.18,16.07,19.46
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.23,6.86,14.84,25.62,72.91,118.72,240.68,369.22,446.13,485.59,446.21,240.98,111.22
C43-C43.9 Melanoma della pelle,0,0,0,0,3.87,0,6.46,6.86,7.42,3.66,11.51,19.15,16.05,16.78,4.51,31.53,48.24,16.07,8.85
C44-C44.9 Pelle non melanomi,0,0,0,0,0,0,0,0,7.42,10.98,49.88,103.4,172.49,318.87,423.6,687.39,771.83,851.47,122.34
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,3.43,0,0,3.84,7.66,0,0,0,0,0,16.07,1.26
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,3.44,0,0,3.71,0,3.84,7.66,0,0,4.51,6.31,0,48.2,2.53
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,0,0,0,4.01,8.39,0,0,0,16.07,1.01
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,0,3.43,18.55,14.64,11.51,34.47,48.14,75.52,85.62,126.13,48.24,96.39,25.53
C67-C67.9 Vescica,0,0,0,0,0,0,3.23,3.43,11.13,32.93,49.88,118.72,108.31,243.35,310.94,365.77,385.91,433.77,83.16
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,12.61,0,0,0.76
C71-C71.9 Cervello,0,5.78,0,0,3.87,3.44,0,0,3.71,3.66,11.51,15.32,28.08,16.78,36.05,31.53,48.24,16.07,10.36
C73-C73.9 Ghiandola tiroide,0,0,0,4.75,0,3.44,3.23,3.43,3.71,7.32,19.19,15.32,4.01,12.59,0,18.92,0,0,5.81
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,0,3.66,3.84,0,8.02,12.59,45.06,25.23,24.12,32.13,6.32
C81-C81.9 Malattia di Hodgkin,0,0,0,18.99,3.87,0,3.23,6.86,3.71,0,0,0,0,0,13.52,6.31,24.12,0,3.79
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,3.87,0,0,0,3.71,0,3.84,0,4.01,4.2,0,6.31,12.06,0,1.77
C83-C83.9 Linfoma diffuso non-Hodgkin,0,5.78,0,0,3.87,3.44,0,6.86,7.42,3.66,11.51,11.49,20.06,0,27.04,37.84,60.3,32.13,9.61
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,3.44,0,10.29,3.71,3.66,11.51,3.83,12.03,8.39,22.53,25.23,48.24,64.26,8.09
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,6.31,0,0,0.51
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,3.23,0,3.71,3.66,7.67,11.49,4.01,20.98,40.56,50.45,60.3,80.33,10.36
C91-C91.9 Leucemia linfoide,6.1,0,0,0,0,0,3.23,0,0,0,3.84,15.32,32.09,41.96,40.56,50.45,0,64.26,11.63
C92-C92.9 Leucemia mieloide,12.19,0,0,0,3.87,3.44,0,3.43,3.71,0,0,3.83,4.01,46.15,22.53,31.53,96.48,112.46,11.12
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,0,0,3.84,3.83,4.01,0,0,0,0,0,0.76
