ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,3.8,8.01,9.36,0,1.35
C15-C15.9 Esofago,0,0,0,0,0,0,0,3.01,0,3.4,0,0,0,0,0,0,0,12.68,0.9
C16-C16.9 Stomaco,0,0,0,0,0,0,0,6.02,3.04,16.99,10.72,37.22,26.95,64.64,75.96,108.18,121.68,240.88,35.43
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,3.57,3.38,0,0,3.8,8.01,9.36,0,1.57
C18-C18.9 Colon,0,0,0,0,0,0,0,9.03,9.11,20.38,35.73,84.6,107.8,86.19,155.71,156.26,234,259.9,60.54
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,3.73,3.1,0,6.07,3.4,7.15,0,11.55,10.77,15.19,0,37.44,31.69,6.73
C20-C20.9 Retto,0,0,0,0,0,0,3.1,0,0,10.19,21.44,27.07,30.8,32.32,64.56,80.13,84.24,63.39,22.42
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,3.01,0,0,0,0,3.85,0,7.6,12.02,9.36,6.34,2.24
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,3.1,3.01,0,0,7.15,3.38,11.55,14.36,22.79,60.1,51.48,44.37,11.43
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,10.15,7.7,10.77,11.39,24.04,14.04,25.36,5.38
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,3.04,0,7.15,0,0,3.59,18.99,16.03,37.44,44.37,6.28
C25-C25.9 Pancreas,0,0,0,0,0,0,0,3.01,0,0,0,6.77,26.95,25.14,60.77,52.09,93.6,101.42,18.39
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,3.04,3.4,3.57,3.38,3.85,3.59,0,0,0,0,1.35
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,3.01,3.04,30.57,10.72,57.52,42.35,57.46,60.77,92.15,65.52,57.05,26.91
C43-C43.9 Melanoma della pelle,0,0,5.73,0,9.47,7.46,24.79,24.08,15.18,13.59,7.15,10.15,7.7,17.96,7.6,20.03,18.72,44.37,13.45
C44-C44.9 Pelle non melanomi,0,0,0,5.43,4.73,3.73,9.3,15.05,21.25,57.75,42.88,54.14,115.5,140.05,201.29,268.44,444.6,564.17,97.76
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,4.01,0,0,0.45
C49-C49.9 Tess.connettivo e molle,5.62,0,5.73,0,4.73,0,0,3.01,3.04,0,0,0,0,0,0,4.01,9.36,6.34,2.02
C50-C50.9 Mammella,0,0,0,0,0,14.92,24.79,51.16,148.76,227.6,228.67,216.56,300.31,258.56,231.67,268.44,271.44,234.54,144.84
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,0,3.01,3.04,6.79,3.57,16.92,26.95,17.96,34.18,44.07,51.48,31.69,13
C67-C67.9 Vescica,0,0,0,0,0,0,3.1,0,0,3.4,10.72,3.38,3.85,46.68,37.98,56.09,74.88,69.73,15.92
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,9.36,0,0.67
C71-C71.9 Cervello,0,0,5.73,0,0,7.46,3.1,0,6.07,3.4,3.57,10.15,15.4,17.96,30.38,24.04,37.44,31.69,10.54
C73-C73.9 Ghiandola tiroide,0,0,5.73,0,4.73,3.73,12.4,9.03,24.29,16.99,17.87,30.45,19.25,21.55,15.19,4.01,14.04,19.02,13.23
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,3.01,0,0,3.57,0,7.7,7.18,0,8.01,14.04,76.07,5.16
C81-C81.9 Malattia di Hodgkin,0,0,0,10.85,4.73,0,0,3.01,3.04,0,3.57,0,0,3.59,0,0,4.68,0,1.79
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,0,0,6.79,7.15,3.38,3.85,3.59,0,4.01,4.68,0,2.02
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,0,0,0,3.73,6.2,6.02,6.07,0,10.72,16.92,7.7,17.96,22.79,32.05,14.04,19.02,9.42
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,7.46,3.1,0,0,3.4,0,6.77,11.55,14.36,30.38,20.03,37.44,25.36,8.52
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,6.34,0.45
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,4.73,0,0,0,3.04,0,7.15,10.15,19.25,14.36,22.79,28.05,46.8,25.36,9.64
C91-C91.9 Leucemia linfoide,11.24,11.97,0,0,0,0,0,0,0,10.19,0,10.15,3.85,10.77,15.19,16.03,18.72,19.02,6.5
C92-C92.9 Leucemia mieloide,0,0,0,0,0,0,6.2,3.01,0,6.79,7.15,6.77,11.55,21.55,18.99,32.05,23.4,38.03,9.42
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,0,0,3.57,6.77,0,0,7.6,24.04,18.72,12.68,3.81
