ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,3.38,14.74,7.16,0,8.71,5.34,0,0,2.3
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,2.86,0,0,0,3.58,0,13.06,5.34,7.41,0,1.61
C16-C16.9 Stomaco,0,0,0,0,0,0,3.29,2.9,2.86,20.73,27.03,40.54,53.69,68.43,130.59,192.15,222.31,298.54,42.74
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,2.9,0,0,3.38,7.37,7.16,4.28,8.71,10.67,29.64,0,3.45
C18-C18.9 Colon,0,0,0,0,0,3.87,0,2.9,5.72,11.85,57.45,106.87,157.5,213.84,261.18,288.22,444.63,467.71,84.8
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,2.9,8.58,2.96,10.14,18.43,25.06,17.11,47.88,42.7,22.23,59.71,11.95
C20-C20.9 Retto,0,0,0,0,0,0,0,0,2.86,11.85,33.79,47.91,75.17,72.71,87.06,112.09,81.51,109.46,29.64
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,5.34,7.41,0,1.15
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,3.87,3.29,0,0,17.77,27.03,18.43,53.69,76.98,56.59,85.4,125.98,79.61,24.82
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,2.86,0,0,0,7.16,0,8.71,10.67,14.82,19.9,2.53
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,3.38,3.69,3.58,17.11,17.41,26.69,37.05,9.95,5.06
C25-C25.9 Pancreas,0,0,0,0,0,3.87,0,0,2.86,11.85,13.52,14.74,60.85,51.32,65.3,117.42,111.16,79.61,23.67
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,11.85,20.27,14.74,39.38,38.49,30.47,37.36,59.28,29.85,13.56
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.29,0,8.58,11.85,30.41,114.24,153.92,295.11,417.89,394.97,496.5,497.56,102.72
C43-C43.9 Melanoma della pelle,0,0,0,0,4.48,11.6,6.58,14.48,22.88,23.69,16.9,14.74,39.38,29.94,30.47,53.37,37.05,89.56,19.53
C44-C44.9 Pelle non melanomi,0,0,0,9.99,4.48,11.6,16.46,26.07,20.02,41.46,67.58,136.35,168.24,312.21,491.89,656.51,852.2,1034.93,154.66
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,2.86,0,3.38,0,0,4.28,0,5.34,0,0,0.92
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,0,2.86,5.92,3.38,0,0,4.28,0,16.01,7.41,0,2.07
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,13.06,10.67,7.41,0,1.84
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,3.87,3.29,8.69,20.02,8.88,30.41,44.22,71.59,59.88,104.47,74.72,51.87,19.9,26.89
C67-C67.9 Vescica,0,0,0,0,0,0,0,5.79,8.58,17.77,23.65,29.48,71.59,132.58,161.06,165.46,392.75,248.78,51.25
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,0,3.69,3.58,0,0,0,0,0,0.46
C71-C71.9 Cervello,4.8,0,5.15,0,4.48,0,6.58,2.9,2.86,8.88,13.52,18.43,21.48,38.49,21.77,32.02,7.41,39.8,11.49
C73-C73.9 Ghiandola tiroide,0,0,0,0,4.48,11.6,9.87,0,8.58,8.88,13.52,7.37,21.48,25.66,13.06,0,7.41,0,8.04
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,0,0,0,0,7.37,7.16,4.28,13.06,32.02,29.64,49.76,5.29
C81-C81.9 Malattia di Hodgkin,0,0,0,0,8.95,3.87,6.58,2.9,0,2.96,3.38,0,0,0,0,0,0,9.95,2.07
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,3.87,0,0,8.58,2.96,6.76,11.06,14.32,4.28,17.41,0,7.41,0,4.6
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,0,4.99,0,3.87,3.29,0,5.72,8.88,10.14,11.06,14.32,25.66,52.24,32.02,29.64,19.9,11.03
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,4.48,0,9.87,2.9,5.72,14.81,3.38,18.43,17.9,25.66,26.12,16.01,59.28,69.66,12.18
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,2.96,3.38,0,0,4.28,0,0,0,0,0.69
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,2.9,0,5.92,3.38,3.69,14.32,25.66,13.06,42.7,81.51,69.66,10.11
C91-C91.9 Leucemia linfoide,4.8,0,0,0,0,0,0,2.9,0,0,6.76,7.37,25.06,25.66,17.41,32.02,66.69,39.8,9.65
C92-C92.9 Leucemia mieloide,0,0,5.15,0,0,3.87,0,2.9,0,5.92,3.38,7.37,7.16,4.28,34.82,48.04,29.64,49.76,8.5
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,5.06,0,0,0,0,0,8.69,2.86,2.96,3.38,11.06,21.48,21.38,43.53,69.39,103.75,59.71,14.71
