ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,3.16,3.54,3.69,0,0,0,0,11.05,8.07,14.55,1.7
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,7.07,7.38,3.69,8.03,12.39,13.81,16.58,16.14,29.11,4.85
C16-C16.9 Stomaco,0,0,0,0,0,0,3.11,2.98,3.16,3.54,44.26,47.97,84.32,152.8,216.41,254.26,347.03,320.19,59.4
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,3.69,4.02,4.13,0,0,16.14,0,1.21
C18-C18.9 Colon,0,0,0,0,0,0,3.11,2.98,12.64,17.68,44.26,44.28,136.52,198.22,170.37,270.85,387.38,378.4,67.16
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,2.98,0,0,7.38,22.14,8.03,16.52,27.63,38.69,40.35,58.22,8.97
C20-C20.9 Retto,0,0,0,0,4.41,0,0,0,12.64,3.54,22.13,33.21,80.31,45.43,105.9,176.88,121.06,101.88,31.28
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,3.11,0,0,0,0,0,4.02,0,4.6,0,8.07,14.55,1.21
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,3.54,14.75,29.52,52.2,82.59,82.88,99.49,153.34,116.43,26.43
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81,16.58,32.28,0,2.42
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,3.16,0,3.69,7.38,4.02,4.13,32.23,16.58,24.21,58.22,5.58
C25-C25.9 Pancreas,0,0,0,0,0,0,0,5.96,0,7.07,14.75,22.14,36.14,53.69,69.07,82.91,129.13,29.11,20.37
C32-C32.9 Laringe,0,0,0,0,0,0,3.11,0,0,14.15,25.82,11.07,48.18,57.82,18.42,82.91,40.35,29.11,16.24
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.11,0,22.11,38.9,66.39,114.39,164.63,235.39,405.19,436.67,395.45,203.75,96.02
C43-C43.9 Melanoma della pelle,0,0,0,0,4.41,0,6.22,11.91,9.48,24.76,14.75,14.76,12.05,24.78,27.63,22.11,32.28,0,11.64
C44-C44.9 Pelle non melanomi,0,0,5.39,0,4.41,3.57,21.76,11.91,22.11,28.29,44.26,99.63,160.61,384.06,460.45,613.55,871.6,858.68,140.39
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,3.69,4.02,4.13,0,0,0,0,0.73
C49-C49.9 Tess.connettivo e molle,0,0,5.39,0,0,0,3.11,2.98,0,0,3.69,0,0,0,13.81,5.53,8.07,0,2.18
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,3.54,0,3.69,4.02,4.13,0,11.05,8.07,14.55,1.94
C64-C64.9 Rene eccet.pelvi renale,5.53,0,0,0,0,0,6.22,2.98,9.48,14.15,40.57,29.52,40.15,78.46,73.67,60.8,80.7,87.32,24.73
C67-C67.9 Vescica,0,0,0,0,0,3.57,3.11,0,9.48,21.22,18.44,55.35,100.38,173.45,248.64,386.92,419.66,349.29,72.25
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,3.16,3.54,0,0,4.02,4.13,0,5.53,0,0,1.21
C71-C71.9 Cervello,0,5.65,0,0,4.41,0,6.22,14.89,3.16,0,18.44,14.76,36.14,37.17,55.25,33.16,24.21,0,14.06
C73-C73.9 Ghiandola tiroide,0,0,0,5.16,0,3.57,3.11,8.94,3.16,7.07,3.69,11.07,8.03,8.26,27.63,16.58,0,0,6.3
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,3.11,0,0,3.54,0,0,0,8.26,9.21,16.58,24.21,14.55,3.15
C81-C81.9 Malattia di Hodgkin,0,0,5.39,10.33,13.24,3.57,3.11,5.96,3.16,3.54,0,11.07,8.03,12.39,0,11.05,8.07,0,5.58
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,3.11,0,0,0,0,7.38,8.03,4.13,0,11.05,0,0,1.94
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,0,0,0,0,0,5.96,3.16,3.54,3.69,7.38,12.05,16.52,32.23,33.16,32.28,0,7.52
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,5.16,0,3.57,6.22,2.98,6.32,7.07,14.75,22.14,20.08,33.04,13.81,71.86,40.35,43.66,13.58
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,16.58,0,0,0.97
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,0,7.07,11.07,7.38,28.11,8.26,36.84,44.22,56.49,14.55,9.7
C91-C91.9 Leucemia linfoide,11.05,16.96,0,0,0,0,0,5.96,0,3.54,7.38,7.38,12.05,33.04,23.02,49.75,96.84,14.55,12.12
C92-C92.9 Leucemia mieloide,0,0,5.39,0,4.41,0,3.11,5.96,6.32,3.54,3.69,7.38,8.03,28.91,36.84,60.8,64.56,14.55,11.64
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,2.98,6.32,7.07,11.07,11.07,4.02,8.26,32.23,22.11,8.07,29.11,6.79
