ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,7.28,0,3.93,4.22,4.65,0,8.83,0,1.48
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,7.25,7.28,11.6,19.64,0,18.58,5.5,17.65,43.48,5.41
C16-C16.9 Stomaco,0,0,0,0,0,0,0,6.08,16.47,14.49,43.67,30.92,82.49,113.99,162.58,263.9,291.29,347.8,53.87
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,3.93,4.22,0,5.5,0,0,0.74
C18-C18.9 Colon,0,0,0,0,0,3.54,0,3.04,6.59,21.74,29.12,73.44,121.76,206.87,255.48,340.87,361.9,434.75,75.02
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,3.64,0,7.86,16.89,41.81,38.48,17.65,28.98,6.64
C20-C20.9 Retto,0,0,0,0,0,0,6.35,3.04,3.29,7.25,14.56,38.65,74.63,63.33,125.42,109.96,114.75,101.44,29.76
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,4.65,0,0,14.49,0.98
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,3.62,18.2,7.73,31.42,71.77,83.61,104.46,123.58,28.98,21.15
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,3.87,11.78,21.11,9.29,5.5,26.48,14.49,3.94
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,3.62,3.64,0,3.93,21.11,9.29,11,26.48,28.98,4.18
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,0,21.74,14.56,19.33,62.85,25.33,37.16,65.97,97.1,86.95,18.2
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,3.29,0,18.2,30.92,31.42,50.66,74.32,76.97,114.75,0,18.94
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.18,6.08,3.29,54.35,43.67,69.58,192.47,287.08,371.6,566.28,397.21,318.82,102.32
C43-C43.9 Melanoma della pelle,0,0,0,0,0,3.54,6.35,6.08,3.29,7.25,18.2,11.6,19.64,29.55,27.87,32.99,8.83,57.97,11.07
C44-C44.9 Pelle non melanomi,0,0,0,0,0,0,6.35,12.15,13.17,43.48,58.23,81.17,172.83,358.85,445.92,549.78,776.77,521.7,124.95
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,14.49,0.49
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,7.08,3.18,6.08,0,0,0,0,3.93,8.44,9.29,0,26.48,0,3.2
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,5.5,0,14.49,0.74
C64-C64.9 Rene eccet.pelvi renale,0,5.79,0,0,0,0,3.18,6.08,16.47,14.49,32.76,42.52,66.77,75.99,92.9,76.97,70.62,130.43,29.27
C67-C67.9 Vescica,0,0,0,0,0,0,0,3.04,3.29,10.87,18.2,38.65,90.34,160.43,204.38,318.87,397.21,333.31,61.74
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0.25
C71-C71.9 Cervello,5.68,5.79,0,5.18,4.41,0,9.53,3.04,3.29,7.25,10.92,3.87,47.13,46.44,32.52,32.99,35.31,0,13.53
C73-C73.9 Ghiandola tiroide,0,0,0,0,0,3.54,0,3.04,6.59,3.62,7.28,15.46,3.93,8.44,4.65,0,0,0,3.69
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,3.18,0,0,0,0,0,3.93,21.11,23.23,21.99,17.65,72.46,5.66
C81-C81.9 Malattia di Hodgkin,0,0,0,0,0,3.54,0,0,0,7.25,0,0,0,4.22,4.65,5.5,0,0,1.48
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,3.04,0,3.62,7.28,3.87,11.78,0,0,0,8.83,0,2.21
C83-C83.9 Linfoma diffuso non-Hodgkin,0,11.58,0,5.18,0,0,3.18,3.04,9.88,14.49,7.28,7.73,3.93,8.44,0,38.48,26.48,28.98,7.62
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,4.41,0,0,3.04,6.59,3.62,3.64,7.73,31.42,21.11,60.39,21.99,52.96,57.97,11.81
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,5.5,0,14.49,0.74
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,0,3.62,14.56,11.6,7.86,25.33,18.58,32.99,61.79,115.93,10.08
C91-C91.9 Leucemia linfoide,11.37,0,10.74,5.18,0,0,0,3.04,3.29,0,10.92,11.6,7.86,21.11,32.52,49.48,52.96,14.49,10.58
C92-C92.9 Leucemia mieloide,0,0,0,0,0,0,6.35,3.04,3.29,3.62,0,7.73,15.71,25.33,51.1,43.98,52.96,57.97,11.31
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,3.18,0,3.29,10.87,7.28,27.06,7.86,12.67,32.52,38.48,26.48,0,8.85
