ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C07-C07.9 Parotide,0,0,0,4.84,0,0,0,0,3.66,3.75,0,0,0,4.18,4.58,0,0,15,1.51
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,3.66,0,3.7,3.94,11.84,0,18.32,17.42,12.92,0,3.53
C16-C16.9 Stomaco,0,0,0,0,0,0,0,6.69,18.31,29.97,25.93,51.2,59.2,142.29,137.4,284.55,348.72,434.95,55.26
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,9.16,5.81,12.92,0,1.51
C18-C18.9 Colon,0,0,0,0,0,0,0,3.34,10.99,22.48,40.75,98.46,142.08,188.32,224.43,360.05,297.06,329.96,71.41
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,18.52,15.75,51.31,41.85,50.38,81.3,51.66,44.99,16.15
C20-C20.9 Retto,0,0,0,0,0,0,3.23,3.34,3.66,0,18.52,31.51,39.47,50.22,50.38,98.72,129.16,119.99,21.19
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,0,7.88,7.89,0,4.58,23.23,0,30,2.78
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,3.34,0,3.75,18.52,27.57,27.63,50.22,105.34,75.49,77.49,59.99,19.93
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,13.74,17.42,0,30,2.27
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,7.88,3.95,12.55,32.06,34.84,25.83,30,5.8
C25-C25.9 Pancreas,0,0,0,4.84,0,0,3.23,0,7.33,3.75,3.7,19.69,31.57,46.03,41.22,52.26,116.24,134.98,16.65
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,14.65,0,22.22,23.63,35.52,66.96,64.12,23.23,38.75,30,16.15
C34-C34.9 Bronchi e polmoni,0,0,0,0,4,0,0,6.69,10.99,37.46,74.08,141.79,213.13,276.2,462.59,470.38,400.39,329.96,107.74
C43-C43.9 Melanoma della pelle,0,0,0,0,4,17.25,6.46,0,14.65,3.75,25.93,35.45,15.79,25.11,18.32,34.84,64.58,44.99,14.38
C44-C44.9 Pelle non melanomi,0,0,0,0,4,0,6.46,10.03,21.98,26.22,55.56,82.71,149.98,230.17,480.91,476.19,619.95,734.91,109
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,3.34,0,0,3.7,0,0,0,0,0,0,0,0.5
C49-C49.9 Tess.connettivo e molle,0,0,5.58,0,4,3.45,0,0,3.66,7.49,0,7.88,3.95,4.18,4.58,17.42,12.92,0,3.78
C50-C50.9 Mammella,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,11.61,0,0,0.76
C64-C64.9 Rene eccet.pelvi renale,0,0,0,0,0,0,3.23,3.34,0,14.99,29.63,47.26,63.15,71.14,68.7,63.88,51.66,15,22.71
C67-C67.9 Vescica,0,0,0,0,0,0,0,10.03,7.33,7.49,33.34,86.65,106.56,179.95,283.97,383.28,271.23,269.97,69.39
C69-C69.9 Occhio e annessi,6.04,0,0,0,0,0,0,0,0,3.75,0,0,0,0,4.58,0,0,0,0.76
C71-C71.9 Cervello,0,11.58,0,0,0,0,6.46,10.03,7.33,3.75,7.41,15.75,27.63,37.66,41.22,23.23,25.83,15,12.11
C73-C73.9 Ghiandola tiroide,0,0,5.58,4.84,4,6.9,6.46,0,3.66,7.49,7.41,11.82,23.68,4.18,0,11.61,12.92,0,6.31
C80-C80.9 T.m.n.a.s. o n.s.prim.sec.,0,0,0,0,0,0,0,3.34,0,3.75,11.11,19.69,7.89,16.74,18.32,34.84,64.58,104.99,9.59
C81-C81.9 Malattia di Hodgkin,0,0,0,4.84,4,3.45,3.23,6.69,3.66,7.49,0,3.94,11.84,8.37,4.58,0,0,0,4.04
C82-C82.9 Linfoma follicol.non-Hodgkin,0,0,0,0,0,0,0,3.34,3.66,11.24,0,3.94,3.95,0,4.58,0,25.83,0,2.52
C83-C83.9 Linfoma diffuso non-Hodgkin,0,0,0,4.84,4,3.45,3.23,13.38,0,14.99,14.82,3.94,7.89,25.11,18.32,17.42,12.92,74.99,9.59
C85-C85.9 Al.n.s.linfomi non-Hodgkin,0,0,0,0,0,0,3.23,0,0,3.75,18.52,7.88,31.57,29.29,4.58,17.42,25.83,30,8.07
C88-C88.9 Mal.immunoprolifer.maligna,0,0,0,0,0,0,0,0,3.66,3.75,0,0,0,0,0,0,0,0,0.5
C90-C90.9 Mieloma multipl.t.m.plasmacellule,0,0,0,0,0,0,0,0,3.66,0,7.41,7.88,15.79,25.11,36.64,23.23,25.83,44.99,8.07
C91-C91.9 Leucemia linfoide,6.04,11.58,0,4.84,0,0,3.23,0,7.33,0,3.7,15.75,23.68,29.29,45.8,40.65,12.92,59.99,11.86
C92-C92.9 Leucemia mieloide,0,0,0,0,0,0,3.23,6.69,0,7.49,0,19.69,19.73,29.29,27.48,29.04,38.75,30,9.59
C96-C96.9 Al. ns t.m.tess.linf.emat.,0,0,0,0,0,0,0,0,0,3.75,0,0,7.89,8.37,0,0,12.92,0,1.51
