ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,19.03,0,19.08,1.43
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,7.19,0,0,9.54,0.95
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,0,3.56,0,3.54,0,0,0,0,0.48
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,3.6,0,6.43,0,0.71
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,19.08,0.71
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0.24
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0.24
C11-C11.9 Nasofaringe,0,0,0,4.54,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0.48
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,7.11,0,3.54,3.6,0,6.43,9.54,1.43
C16-C16.9 Stomaco,0,0,0,0,0,0,0,0,0,21,7.81,42.67,36.08,70.74,97.11,145.89,147.88,229.01,35.03
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,14.22,3.61,7.07,3.6,0,6.43,0,2.14
C18-C18.9 Colon,0,0,0,0,3.7,0,10,11,7.5,17.5,19.53,39.12,46.91,99.04,143.86,152.23,192.88,209.92,44.56
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,3.33,0,0,3.5,3.91,10.67,3.61,10.61,10.79,25.37,32.15,9.54,5.48
C20-C20.9 Retto,0,0,0,0,0,0,0,0,0,7,19.53,32.01,25.26,24.76,43.16,19.03,96.44,38.17,15.25
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,3.75,0,0,0,3.61,3.54,14.39,12.69,6.43,9.54,2.62
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,3.5,3.91,3.56,7.22,21.22,14.39,44.4,64.29,66.79,9.29
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,3.75,0,7.81,3.56,7.22,14.15,17.98,63.43,12.86,28.63,7.15
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,7.11,0,17.69,14.39,12.69,19.29,19.08,4.29
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,0,0,7.81,3.56,14.43,24.76,46.76,63.43,57.86,95.42,13.34
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,6.34,6.43,9.54,0.95
C31-C31.9 Seni accessori,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,6.34,6.43,0,0.71
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,0,0,0,0,3.61,3.54,0,6.34,0,9.54,0.95
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,3.56,0,3.54,0,0,0,0,0.48
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,3.33,3.67,3.75,24.5,31.25,21.34,43.3,45.98,79.13,107.83,96.44,47.71,25.73
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,6.34,6.43,0,0.71
C43-C43.9 Melanoma della pelle,0,0,0,0,3.7,10.34,3.33,7.34,3.75,10.5,3.91,0,28.87,17.69,25.18,19.03,19.29,47.71,10.25
C44-C44.9 Pelle non melanomi,0,0,0,0,14.78,10.34,0,3.67,14.99,14,27.34,60.46,79.39,109.65,161.85,342.52,295.75,524.81,69.81
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,0,3.91,0,3.61,0,0,0,0,0,0.48
C46-C46.9 Sarcoma di Kaposi,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0.24
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,3.6,0,0,9.54,0.71
C49-C49.9 Tess.connettivo e molle,0,0,0,0,0,0,0,3.67,0,7,0,3.56,3.61,3.54,3.6,0,6.43,9.54,2.14
C50-C50.9 Mammella,0,0,0,0,0,3.45,33.33,47.68,146.19,196.03,171.87,199.15,223.73,212.22,284.13,222,225.03,229.01,122.47
C51-C51.9 Vulva,0,0,0,0,0,0,0,0,3.75,3.5,0,3.56,0,14.15,10.79,0,32.15,47.71,4.77
C52-C52.9 Vagina,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,3.6,0,0,9.54,0.71
C53-C53.9 Collo dell'utero,0,0,0,0,0,0,6.67,14.67,11.25,10.5,7.81,7.11,7.22,10.61,28.77,25.37,32.15,19.08,9.53
C54-C54.9 Corpo dell'utero,0,0,0,0,0,3.45,0,0,7.5,24.5,50.78,49.79,46.91,70.74,61.14,88.8,77.15,9.54,27.16
C55-C55.9 Utero n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,6.34,6.43,0,0.71
C56-C56.9 Ovaio,0,0,5.5,0,0,3.45,0,7.34,3.75,21,39.06,53.34,18.04,45.98,53.95,38.06,64.29,66.79,21.92
C57-C57.9 Al.n.s.org.genit.femminili,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,3.6,0,6.43,0,0.71
C64-C64.9 Rene eccet.pelvi renale,6.47,0,0,0,0,0,3.33,7.34,0,3.5,3.91,7.11,25.26,17.69,14.39,44.4,32.15,19.08,9.05
C65-C65.9 Pelvi renale,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,9.54,0.48
C66-C66.9 Uretere,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,3.6,6.34,0,0,0.71
C67-C67.9 Vescica,0,0,0,0,0,0,0,14.67,7.5,7,11.72,24.89,21.65,38.91,46.76,69.77,83.58,57.25,18.59
C68-C68.9 Al.n.s.organi urinari,0,0,0,0,0,0,0,0,0,3.5,3.91,0,0,7.07,0,6.34,6.43,19.08,1.91
C69-C69.9 Occhio e annessi,0,0,0,0,0,0,0,0,0,0,0,3.56,0,10.61,0,0,0,0,0.95
