ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.69,0,0.43
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,2.8,0,0,0,3.35,3.89,3.71,4.1,4.69,4.59,1.49
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,4.59,0.43
C07-C07.9 Parotide,0,0,0,0,0,3.93,0,2.86,2.8,2.86,0,0,0,3.89,3.71,0,0,4.59,1.49
C09-C09.9 Tonsille,0,0,0,0,0,0,0,2.86,0,2.86,0,0,0,0,0,0,0,0,0.43
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0.21
C11-C11.9 Nasofaringe,0,0,0,0,0,0,3.29,0,2.8,2.86,0,3.45,0,3.89,0,0,0,0,1.07
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0.21
C14-C14.9 Altre ns sedi lab.cav.or.faringe,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0.21
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,4.1,0,0,0.43
C16-C16.9 Stomaco,0,0,0,0,0,0,3.29,2.86,2.8,8.57,12.8,27.61,30.12,62.19,63.08,110.75,126.56,147.03,31.16
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,11.13,12.31,4.69,4.59,2.13
C18-C18.9 Colon,0,0,0,0,0,0,0,2.86,8.39,17.13,48,58.68,90.35,171.01,178.11,143.56,229.67,225.13,62.76
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,2.8,5.71,3.2,3.45,13.38,15.55,29.69,20.51,18.75,22.97,7.47
C20-C20.9 Retto,0,0,0,0,0,0,0,0,0,22.84,9.6,17.26,30.12,42.75,55.66,69.73,56.25,22.97,18.14
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,2.86,0,0,6.4,0,3.35,0,7.42,8.2,4.69,0,1.92
C22-C22.9 Fegato dotti intraepatici,5.11,0,0,0,0,0,0,0,2.8,0,16,10.35,3.35,15.55,18.55,32.81,60.93,78.11,12.38
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,3.2,6.9,20.08,11.66,22.26,8.2,18.75,9.19,5.55
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,3.71,12.31,18.75,27.57,3.2
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,5.6,2.86,12.8,10.35,23.42,31.09,37.11,61.53,107.81,137.84,21.99
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,14.06,13.78,1.49
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,3.2,3.45,3.35,0,0,0,0,0,0.64
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,2.8,0,3.2,0,10.04,0,11.13,4.1,9.37,0,2.35
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,2.86,0,17.13,38.4,55.22,60.23,89.39,100.19,106.64,140.62,59.73,36.71
C37-C37.9 Timo,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0.21
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0.21
C43-C43.9 Melanoma della pelle,0,5.36,11.12,0,9.25,7.86,13.15,20.02,16.79,8.57,28.8,17.26,20.08,7.77,25.97,20.51,23.44,13.78,14.73
C44-C44.9 Pelle non melanomi,5.11,5.36,0,5.33,0,11.79,9.86,37.18,44.76,39.97,57.6,58.68,113.77,136.03,222.64,287.12,435.91,468.64,102.67
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,0,0,4.69,0,0.64
C46-C46.9 Sarcoma di Kaposi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0.43
C48-C48.9 Retroperit.peritoneo,0,0,0,0,0,0,0,0,2.8,0,0,0,0,3.89,0,4.1,0,0,0.64
C49-C49.9 Tess.connettivo e molle,5.11,0,0,0,0,0,0,2.86,0,0,6.4,3.45,6.69,0,3.71,4.1,4.69,9.19,2.56
