ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,3.94,0,4.18,18.32,5.81,0,44.99,2.52
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,3.34,0,0,0,0,0,12.55,9.16,0,0,0,1.51
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,3.34,3.66,0,0,0,7.89,8.37,18.32,0,0,0,2.52
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0.25
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,5.81,0,0,0.5
C05-C05.9 Palato,0,0,0,0,0,0,3.23,0,0,0,0,0,0,4.18,0,0,0,0,0.5
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,0,0,0,3.7,0,3.95,12.55,4.58,0,0,0,1.51
C07-C07.9 Parotide,0,0,0,4.84,0,0,0,0,3.66,3.75,0,0,0,4.18,4.58,0,0,15,1.51
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,3.66,0,0,11.82,3.95,0,4.58,0,0,0,1.51
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,4.58,0,0,0,0.5
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0.25
C12-C12.9 Seno piriforme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0.25
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,5.81,0,15,0.76
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,3.66,0,3.7,3.94,11.84,0,18.32,17.42,12.92,0,3.53
C16-C16.9 Stomaco,0,0,0,0,0,0,0,6.69,18.31,29.97,25.93,51.2,59.2,142.29,137.4,284.55,348.72,434.95,55.26
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,9.16,5.81,12.92,0,1.51
C18-C18.9 Colon,0,0,0,0,0,0,0,3.34,10.99,22.48,40.75,98.46,142.08,188.32,224.43,360.05,297.06,329.96,71.41
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,18.52,15.75,51.31,41.85,50.38,81.3,51.66,44.99,16.15
C20-C20.9 Retto,0,0,0,0,0,0,3.23,3.34,3.66,0,18.52,31.51,39.47,50.22,50.38,98.72,129.16,119.99,21.19
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,0,0,7.88,7.89,0,4.58,23.23,0,30,2.78
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,3.34,0,3.75,18.52,27.57,27.63,50.22,105.34,75.49,77.49,59.99,19.93
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,13.74,17.42,0,30,2.27
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,7.88,3.95,12.55,32.06,34.84,25.83,30,5.8
C25-C25.9 Pancreas,0,0,0,4.84,0,0,3.23,0,7.33,3.75,3.7,19.69,31.57,46.03,41.22,52.26,116.24,134.98,16.65
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,4.58,0,0,0,0.5
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,3.66,0,3.7,3.94,0,4.18,0,17.42,0,0,1.77
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,4.58,0,0,0,0.5
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,14.65,0,22.22,23.63,35.52,66.96,64.12,23.23,38.75,30,16.15
C33-C33.9 Trachea,0,0,0,0,0,0,0,0,0,0,0,0,7.89,4.18,4.58,0,0,0,1.01
C34-C34.9 Bronchi e polmoni,0,0,0,0,4,0,0,6.69,10.99,37.46,74.08,141.79,213.13,276.2,462.59,470.38,400.39,329.96,107.74
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,0,0,0,3.66,3.75,0,0,3.95,8.37,0,0,0,0,1.26
C40-C40.9 Ossa cart.art.arti,0,0,0,0,0,0,0,3.34,3.66,0,0,0,0,0,0,0,0,0,0.5
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,4,0,0,3.34,0,0,3.7,0,3.95,0,0,0,0,0,1.01
C43-C43.9 Melanoma della pelle,0,0,0,0,4,17.25,6.46,0,14.65,3.75,25.93,35.45,15.79,25.11,18.32,34.84,64.58,44.99,14.38
C44-C44.9 Pelle non melanomi,0,0,0,0,4,0,6.46,10.03,21.98,26.22,55.56,82.71,149.98,230.17,480.91,476.19,619.95,734.91,109
C45-C45.9 Mesotelioma,0,0,0,0,0,0,0,0,0,0,0,3.94,0,4.18,9.16,11.61,12.92,0,1.77
