ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,4.66,0,0.44
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,3.88,0,4.66,11.68,1.33
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0.22
C06-C06.9 Altre ns parti bocca,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.22
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,7.99,4.66,5.84,1.11
C08-C08.9 Al. ns ghian.saliv.magg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0.22
C09-C09.9 Tonsille,0,0,0,0,0,0,0,3,0,0,3.54,0,0,0,0,7.99,0,0,0.89
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,5.84,0.44
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0.22
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,3.88,3.99,9.33,5.84,1.56
C16-C16.9 Stomaco,0,0,0,0,0,0,3.09,3,8.91,13.2,14.17,10.02,19.35,53.79,89.19,55.91,153.87,233.5,32.48
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.99,9.33,0,0.89
C18-C18.9 Colon,0,0,0,0,0,7.62,3.09,3,14.84,26.4,42.52,66.77,73.52,121.93,170.62,251.6,209.82,215.99,64.74
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,3.54,10.02,11.61,14.35,23.27,31.95,23.31,23.35,7.56
C20-C20.9 Retto,0,0,0,0,0,0,0,3,5.94,13.2,7.09,3.34,27.09,17.93,31.02,59.9,60.62,70.05,15.57
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,2.97,0,3.54,3.34,0,7.17,11.63,0,9.33,11.68,2.67
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,0,0,3.54,16.69,27.09,21.52,27.14,31.95,55.95,58.38,12.46
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,3.3,7.09,0,7.74,7.17,11.63,11.98,27.98,11.68,4.67
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,0,0,7.74,3.59,0,3.99,13.99,17.51,2.22
C25-C25.9 Pancreas,0,0,0,0,0,0,0,0,8.91,6.6,14.17,16.69,7.74,35.86,46.53,55.91,121.23,64.21,19.8
C26-C26.9 Altri mal def.organi digerenti,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,3.88,3.99,0,23.35,1.56
C30-C30.9 Cavita' nasali orecc.medio,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,4.66,5.84,0.67
C31-C31.9 Seni accessori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0.22
C32-C32.9 Laringe,0,0,0,0,0,0,0,0,2.97,0,0,0,7.74,0,3.88,0,0,0,0.89
C34-C34.9 Bronchi e polmoni,0,0,0,0,0,0,0,0,11.87,26.4,31.89,43.4,58.04,89.66,89.19,107.83,79.27,87.56,34.71
C38-C38.9 Cuore mediastino pleura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0.22
C40-C40.9 Ossa cart.art.arti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,3.99,0,0,0.44
C41-C41.9 Ossa cart.art.altre e ns sedi,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0.22
