ICD10,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85,TOTALE
C00-C00.9 Labbro,0,0,0,0,0,0,0,0,0,0,0,3.48,0,3.99,4.65,10.95,7.71,12.68,1.66
C01-C01.9 Base della lingua,0,0,0,0,0,0,0,0,0,0,0,10.43,0,0,0,0,0,0,0.71
C02-C02.9 Altre ns parti lingua,0,0,0,0,0,0,0,0,0,10.01,3.65,6.95,4.16,3.99,9.29,10.95,0,0,2.85
C03-C03.9 Gengiva,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0.24
C04-C04.9 Pavimento orale,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0.48
C05-C05.9 Palato,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0.24
C07-C07.9 Parotide,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,9.29,0,15.42,0,1.19
C09-C09.9 Tonsille,0,0,0,0,0,0,0,0,0,0,3.65,3.48,8.31,3.99,0,0,0,0,1.19
C10-C10.9 Orofaringe,0,0,0,0,0,0,0,0,0,0,0,3.48,0,3.99,0,0,0,0,0.48
C11-C11.9 Nasofaringe,0,0,0,0,0,0,0,0,0,0,10.95,3.48,0,0,9.29,5.48,0,0,1.66
C13-C13.9 Ipofaringe,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0.24
C14-C14.9 Altre ns sedi lab.cav.or.faringe,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,7.71,0,0.48
C15-C15.9 Esofago,0,0,0,0,0,0,0,0,2.96,0,7.3,3.48,0,7.97,13.94,16.43,23.14,12.68,3.8
C16-C16.9 Stomaco,0,0,0,0,4.52,0,3.07,5.93,8.87,13.35,21.91,31.28,74.81,79.73,153.31,219.06,277.64,317.02,47.04
C17-C17.9 Piccolo intestino,0,0,0,0,0,0,0,0,2.96,3.34,3.65,0,0,3.99,0,10.95,0,12.68,1.66
C18-C18.9 Colon,0,0,0,0,0,0,3.07,11.87,5.91,10.01,25.56,79.94,103.9,167.43,292.69,328.6,323.91,443.82,72.93
C19-C19.9 Giunz. rettosigmoidea,0,0,0,0,0,0,0,0,0,0,14.61,17.38,8.31,15.95,27.88,27.38,23.14,38.04,7.6
C20-C20.9 Retto,0,0,0,0,0,0,0,0,0,23.37,3.65,41.71,49.87,71.76,106.85,115.01,38.56,76.08,24.94
C21-C21.9 Ano e canale anale,0,0,0,0,0,0,0,0,0,3.34,3.65,0,0,3.99,4.65,0,0,0,0.95
C22-C22.9 Fegato dotti intraepatici,0,0,0,0,0,0,0,0,5.91,6.68,18.26,20.85,37.4,55.81,106.85,136.92,100.26,114.13,25.66
C23-C23.9 Colecisti,0,0,0,0,0,0,0,0,0,0,0,3.48,0,15.95,4.65,16.43,7.71,12.68,2.61
C24-C24.9 Altre ns parti vie biliari,0,0,0,0,0,0,0,0,0,0,3.65,3.48,0,11.96,9.29,16.43,30.85,25.36,3.8
